,year,country_id,country_txt_wb,country_txt_gtd,country_code,region,region_txt,arrivals,population,tourism_rank_2012,tourism_group,incident_id,nkill,nkillus,nkillte,nwound,nwoundus,nwoundte,nvictim,nvictimus,nvictimte,event_ct_total
0,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201201070008.0,2.0,0.0,1.0,6.0,0.0,0.0,8.0,0.0,1.0,3
1,2012,123,Mali,Mali,MLI,11.0,Sub-Saharan Africa,32000,15979499,151,low,201201180030.0,36.0,0.0,35.0,0.0,0.0,0.0,36.0,0.0,35.0,1
2,2012,123,Mali,Mali,MLI,11.0,Sub-Saharan Africa,32000,15979499,151,low,201201180031.0,11.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,10.0,1
3,2012,603,United Kingdom,United Kingdom,GBR,8.0,Western Europe,29282000,63700215,8,high,201201190004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201201210009.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2
5,2012,123,Mali,Mali,MLI,11.0,Sub-Saharan Africa,32000,15979499,151,low,201201260038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2012,123,Mali,Mali,MLI,11.0,Sub-Saharan Africa,32000,15979499,151,low,201201260039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201202100020.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
8,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201202130009.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
9,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201202170017.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201202190018.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2
11,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203010018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203010017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203010016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203010013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203010014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203010015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201203220003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
18,2012,138,Myanmar,Myanmar,MMR,5.0,Southeast Asia,1059000,51413698,93,,201203240010.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2
19,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201203260006.0,1.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,1.0,1
20,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203310006.0,14.0,0.0,0.0,400.0,0.0,0.0,414.0,0.0,0.0,1
21,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201203310003.0,9.0,0.0,0.0,70.0,0.0,0.0,79.0,0.0,0.0,2
22,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201204050008.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
23,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201204050009.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
24,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201204110007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
