year_gtd,country_gtd,incident_ct_total,nkill_total,nkillus_total,nkillter_total,nwound_total,nwoundus_total,nwoundte_total
2012,4,48,226.0,0.0,61.0,575.0,0.0,6.0
2012,6,1,0.0,0.0,0.0,1.0,0.0,0.0
2012,18,2,2.0,0.0,0.0,1.0,0.0,0.0
2012,45,6,2.0,0.0,0.0,22.0,0.0,0.0
2012,60,1,0.0,0.0,0.0,3.0,0.0,0.0
2012,69,7,0.0,0.0,0.0,0.0,0.0,0.0
2012,92,18,19.0,0.0,1.0,22.0,0.0,0.0
2012,93,5,0.0,0.0,0.0,3.0,0.0,0.0
2012,95,180,979.0,0.0,40.0,3030.0,0.0,0.0
2012,97,14,0.0,0.0,0.0,22.0,0.0,0.0
2012,99,1,3.0,0.0,0.0,0.0,0.0,0.0
2012,104,12,26.0,0.0,0.0,145.0,0.0,0.0
2012,113,5,6.0,4.0,0.0,5.0,2.0,0.0
2012,123,4,47.0,0.0,45.0,0.0,0.0,0.0
2012,138,2,1.0,0.0,0.0,7.0,0.0,0.0
2012,147,90,622.0,0.0,61.0,318.0,0.0,2.0
2012,153,102,128.0,0.0,3.0,210.0,0.0,1.0
2012,160,7,8.0,0.0,1.0,10.0,0.0,0.0
2012,167,6,20.0,0.0,2.0,114.0,0.0,0.0
2012,168,1,0.0,0.0,0.0,6.0,0.0,0.0
2012,182,9,7.0,0.0,0.0,28.0,0.0,1.0
2012,195,1,7.0,0.0,0.0,18.0,0.0,0.0
2012,200,10,173.0,0.0,19.0,609.0,0.0,0.0
2012,205,24,40.0,0.0,1.0,558.0,0.0,0.0
2012,208,1,4.0,0.0,0.0,46.0,0.0,0.0
2012,209,9,46.0,0.0,25.0,15.0,0.0,0.0
2012,214,1,0.0,0.0,0.0,31.0,0.0,0.0
2012,228,11,28.0,0.0,7.0,8.0,0.0,2.0
2012,229,4,50.0,0.0,0.0,20.0,0.0,0.0
2012,603,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,4,60,410.0,0.0,238.0,272.0,0.0,54.0
2013,6,2,1.0,0.0,0.0,4.0,0.0,0.0
2013,19,18,0.0,0.0,0.0,7.0,0.0,3.0
2013,41,2,0.0,0.0,0.0,0.0,0.0,0.0
2013,43,2,0.0,0.0,0.0,0.0,0.0,0.0
2013,44,1,35.0,0.0,11.0,21.0,0.0,5.0
2013,45,14,4.0,0.0,0.0,30.0,0.0,0.0
2013,53,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,60,23,18.0,0.0,3.0,34.0,0.0,0.0
2013,69,2,0.0,0.0,0.0,0.0,0.0,0.0
2013,78,4,0.0,0.0,0.0,1.0,0.0,0.0
2013,92,64,51.0,0.0,1.0,233.0,0.0,1.0
2013,93,3,11.0,0.0,0.0,4.0,0.0,0.0
2013,95,294,2200.0,0.0,86.0,6222.0,0.0,1.0
2013,97,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,104,5,13.0,0.0,6.0,0.0,0.0,0.0
2013,110,13,77.0,0.0,2.0,464.0,0.0,0.0
2013,113,11,14.0,0.0,0.0,33.0,0.0,0.0
2013,121,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,122,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,123,5,27.0,0.0,20.0,48.0,0.0,0.0
2013,137,2,2.0,0.0,0.0,7.0,0.0,0.0
2013,138,4,1.0,0.0,0.0,9.0,1.0,0.0
2013,141,5,0.0,0.0,0.0,0.0,0.0,0.0
2013,146,1,1.0,0.0,1.0,14.0,0.0,0.0
2013,147,53,507.0,0.0,182.0,43.0,0.0,0.0
2013,153,125,440.0,0.0,28.0,1055.0,0.0,2.0
2013,155,2,0.0,0.0,0.0,0.0,0.0,0.0
2013,158,3,3.0,0.0,1.0,7.0,0.0,0.0
2013,159,3,0.0,0.0,0.0,0.0,0.0,0.0
2013,160,42,8.0,0.0,0.0,35.0,0.0,0.0
2013,167,10,9.0,0.0,0.0,89.0,0.0,0.0
2013,173,1,0.0,0.0,0.0,2.0,0.0,0.0
2013,182,11,31.0,0.0,6.0,56.0,0.0,0.0
2013,183,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,185,2,0.0,0.0,0.0,1.0,0.0,0.0
2013,186,1,0.0,0.0,0.0,1.0,0.0,0.0
2013,195,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,199,2,0.0,0.0,0.0,0.0,0.0,0.0
2013,200,22,114.0,0.0,14.0,291.0,0.0,0.0
2013,205,72,16.0,0.0,0.0,94.0,0.0,0.0
2013,207,1,0.0,0.0,0.0,0.0,0.0,0.0
2013,208,1,1.0,0.0,1.0,0.0,0.0,0.0
2013,209,5,53.0,0.0,0.0,142.0,0.0,0.0
2013,217,1,3.0,2.0,0.0,264.0,0.0,0.0
2013,228,14,49.0,0.0,33.0,53.0,0.0,0.0
2013,229,1,24.0,0.0,24.0,1.0,0.0,0.0
2013,603,3,0.0,0.0,0.0,0.0,0.0,0.0
2013,1004,3,79.0,0.0,0.0,87.0,0.0,0.0
2014,4,126,628.0,0.0,343.0,774.0,0.0,153.0
2014,14,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,18,2,3.0,0.0,0.0,11.0,0.0,0.0
2014,19,33,2.0,0.0,0.0,16.0,0.0,0.0
2014,37,13,56.0,0.0,43.0,2.0,0.0,0.0
2014,41,6,80.0,0.0,0.0,71.0,0.0,0.0
2014,43,3,0.0,0.0,0.0,0.0,0.0,0.0
2014,44,5,155.0,0.0,107.0,70.0,0.0,0.0
2014,45,12,0.0,0.0,0.0,20.0,0.0,0.0
2014,60,24,30.0,0.0,4.0,143.0,0.0,0.0
2014,69,3,0.0,0.0,0.0,0.0,0.0,0.0
2014,92,58,61.0,0.0,0.0,78.0,0.0,0.0
2014,93,1,0.0,0.0,0.0,7.0,0.0,0.0
2014,95,249,2887.0,0.0,83.0,3121.0,0.0,10.0
2014,96,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,97,14,0.0,0.0,0.0,4.0,0.0,0.0
2014,104,13,84.0,0.0,0.0,154.0,0.0,0.0
2014,110,26,15.0,0.0,2.0,140.0,0.0,0.0
2014,113,32,72.0,0.0,1.0,88.0,0.0,0.0
2014,122,2,0.0,0.0,0.0,0.0,0.0,0.0
2014,123,3,2.0,0.0,0.0,0.0,0.0,0.0
2014,137,3,0.0,0.0,0.0,9.0,0.0,0.0
2014,138,2,0.0,0.0,0.0,2.0,0.0,0.0
2014,145,2,5.0,0.0,0.0,28.0,0.0,0.0
2014,146,2,11.0,0.0,2.0,6.0,0.0,0.0
2014,147,220,2740.0,0.0,376.0,671.0,0.0,0.0
2014,153,87,113.0,0.0,3.0,199.0,0.0,0.0
2014,155,7,19.0,0.0,0.0,3.0,0.0,0.0
2014,158,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,160,18,22.0,0.0,17.0,51.0,0.0,0.0
2014,167,4,28.0,0.0,11.0,41.0,0.0,0.0
2014,182,23,62.0,0.0,7.0,119.0,0.0,0.0
2014,183,1,0.0,0.0,0.0,0.0,0.0,0.0
